Date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
2015-02-04 17:51,23.18,27.27,426.0,721.25,0.0,1
2015-02-04 17:51,23.15,27.27,429.5,714.0,0.0,1
2015-02-04 17:53,23.15,27.24,426.0,713.5,0.0,1
2015-02-04 17:54,23.15,27.2,426.0,708.25,0.0,1
2015-02-04 17:55,23.1,27.2,426.0,704.5,0.0,1
2015-02-04 17:55,23.1,27.2,419.0,701.0,0.0,1
2015-02-04 17:57,23.1,27.2,419.0,701.67,0.0,1
2015-02-04 17:57,23.1,27.2,419.0,699.0,0.0,1
2015-02-04 17:58,23.1,27.2,419.0,689.33,0.0,1
2015-02-04 18:00,23.08,27.18,419.0,688.0,0.0,1
2015-02-04 18:01,23.08,27.15,419.0,690.25,0.0,1
2015-02-04 18:02,23.1,27.1,419.0,691.0,0.0,1
2015-02-04 18:03,23.1,27.17,419.0,683.5,0.0,1
2015-02-04 18:04,23.05,27.15,419.0,687.5,0.0,1
2015-02-04 18:04,23.0,27.12,419.0,686.0,0.0,1
2015-02-04 18:06,23.0,27.12,418.5,680.5,0.0,1
2015-02-04 18:07,23.0,27.2,0.0,681.5,0.0,0
2015-02-04 18:08,22.94,27.29,0.0,685.0,0.0,0
2015-02-04 18:08,22.94,27.39,0.0,685.0,0.0,0
2015-02-04 18:10,22.89,27.39,0.0,689.0,0.0,0
2015-02-04 18:10,22.89,27.39,0.0,689.5,0.0,0
2015-02-04 18:11,22.89,27.39,0.0,689.0,0.0,0
2015-02-04 18:13,22.89,27.44,0.0,691.0,0.0,0
2015-02-04 18:14,22.89,27.5,0.0,688.0,0.0,0
2015-02-04 18:15,22.89,27.5,0.0,689.5,0.0,0
2015-02-04 18:16,22.79,27.44,0.0,689.0,0.0,0
2015-02-04 18:16,22.79,27.5,0.0,685.67,0.0,0
2015-02-04 18:17,22.79,27.5,0.0,687.0,0.0,0
2015-02-04 18:19,22.79,27.5,0.0,688.0,0.0,0
2015-02-04 18:20,22.74,27.5,0.0,670.0,0.0,0
2015-02-04 18:21,22.7,27.46,0.0,668.67,0.0,0
2015-02-04 18:22,22.7,27.5,0.0,670.0,0.0,0
2015-02-04 18:23,22.7,27.5,0.0,667.0,0.0,0
