Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
19.391394,26.359335,0.0,457.95834,0.00367267,0.0
19.391394,26.359335,0.0,460.875,0.00367267,0.0
19.391394,26.359335,0.0,461.6042,0.00367267,0.0
19.391394,26.359335,0.0,463.0625,0.00367267,0.0
19.391394,26.359335,0.0,464.15625,0.00367267,0.0
19.391394,26.359335,0.0,463.0625,0.00367267,0.0
19.391394,26.359335,0.0,461.6042,0.00367267,0.0
19.391394,26.359335,0.0,460.875,0.00367267,0.0
19.391394,26.359335,0.0,460.875,0.00367267,0.0
19.391394,26.359335,0.0,461.96878,0.0036649883,0.0
19.391394,26.432167,0.0,462.3333,0.00367267,0.0
19.391394,26.432167,0.0,460.51038,0.0036649883,0.0
19.391394,26.432167,0.0,461.6042,0.00367267,0.0
19.391394,26.432167,0.0,460.51038,0.0036649883,0.0
19.417273,26.432167,0.0,461.96878,0.00367267,0.0
19.426977,26.432167,0.0,460.875,0.00367267,0.0
19.391394,26.432167,0.0,461.6042,0.00367267,0.0
19.391394,26.432167,0.0,463.0625,0.00367267,0.0
19.391394,26.432167,0.0,461.6042,0.00367267,0.0
19.391394,26.432167,0.0,461.6042,0.00367267,0.0
19.391394,26.432167,0.0,461.6042,0.00367267,0.0
19.391394,26.432167,0.0,461.6042,0.00367267,0.0
19.391394,26.432167,0.0,462.69794,0.00367267,0.0
19.391394,26.432167,0.0,461.6042,0.00367267,0.0
19.391394,26.432167,0.0,462.3333,0.00367267,0.0
19.391394,26.432167,0.0,461.23956,0.00367267,0.0
19.391394,26.432167,0.0,461.6042,0.00367267,0.0
19.391394,26.505007,0.0,461.6042,0.00367267,0.0
19.426977,26.505007,0.0,461.96878,0.00367267,0.0
19.426977,26.505007,0.0,461.6042,0.0036649883,0.0
19.446384,26.505007,0.0,461.6042,0.00367267,0.0
19.446384,26.505007,0.0,460.875,0.0036649883,0.0
19.501373,26.505007,0.0,461.6042,0.00367267,0.0
19.494904,26.505007,0.0,460.875,0.00367267,0.0
19.501373,26.505007,0.0,460.875,0.0036649883,0.0
19.501373,26.505007,0.0,459.05206,0.0036649883,0.0
19.475496,26.505007,0.0,461.6042,0.00367267,0.0
19.501373,26.432167,0.0,459.41666,0.0036649883,0.0
19.501373,26.505007,0.0,462.69794,0.00367267,0.0
19.501373,26.505007,0.0,461.6042,0.00367267,0.0
19.501373,26.505007,0.0,463.0625,0.00367267,0.0
19.501373,26.505007,0.0,461.96878,0.00367267,0.0
19.501373,26.505007,0.0,461.96878,0.0036803507,0.0
19.501373,26.505007,0.0,461.96878,0.0036803507,0.0
19.501373,26.505007,0.0,460.14584,0.0036803507,0.0
19.501373,26.505007,0.0,460.51038,0.0036803507,0.0
19.501373,26.505007,0.0,462.69794,0.0036803507,0.0
19.501373,26.505007,0.0,463.7917,0.0036803507,0.0
19.501373,26.505007,0.0,461.96878,0.0036803507,0.0
19.491669,26.505007,0.0,461.6042,0.0036803507,0.0
19.491669,26.505007,0.0,461.96878,0.0036880323,0.0
19.491669,26.505007,0.0,463.0625,0.0036803507,0.0
19.446384,26.505007,0.0,462.69794,0.0036803507,0.0
19.446384,26.505007,0.0,461.6042,0.00367267,0.0
19.446384,26.505007,0.0,461.96878,0.0037033944,0.0
19.426977,26.505007,0.0,461.6042,0.0036803507,0.0
19.446384,26.505007,0.0,460.14584,0.00367267,0.0
19.446384,26.505007,0.0,459.05206,0.0036803507,0.0
19.426977,26.505007,0.0,460.875,0.0036803507,0.0
19.426977,26.505007,0.0,460.875,0.0036803507,0.0
19.414038,26.505007,0.0,460.14584,0.0036803507,0.0
19.391394,26.505007,0.0,460.875,0.0036803507,0.0
19.391394,26.505007,0.0,459.41666,0.0036803507,0.0
19.394629,26.505007,0.0,460.14584,0.0036803507,0.0
19.393421,26.503525,0.0,460.24496,0.0036822185,0.0
19.393421,26.503525,0.0,460.9646,0.0036822185,0.0
19.393421,26.503525,0.0,460.60474,0.0036822185,0.0
19.393421,26.503525,0.0,460.60474,0.0036822185,0.0
19.393421,26.503525,0.0,460.9646,0.0036822185,0.0
19.393421,26.503525,0.0,461.3244,0.0036822185,0.0
19.393421,26.503525,0.0,459.88513,0.0036822185,0.0
19.393421,26.503525,0.0,460.24496,0.0036822185,0.0
19.393421,26.503525,0.0,459.88513,0.0036822185,0.0
19.393421,26.503525,0.0,459.52533,0.0036822185,0.0
19.399818,26.503525,0.0,459.52533,0.0036822185,0.0
19.393421,26.503525,0.0,459.52533,0.0036822185,0.0
19.393421,26.503525,0.0,460.60474,0.0036822185,0.0
19.393421,26.503525,0.0,460.9646,0.0036822185,0.0
19.393421,26.503525,0.0,460.24496,0.0036822185,0.0
19.393421,26.503525,0.0,460.60474,0.0036748596,0.0
19.39662,26.503525,0.0,460.24496,0.0036748596,0.0
19.399818,26.503525,0.0,458.4459,0.0036748596,0.0
19.39662,26.503525,0.0,459.88513,0.0036822185,0.0
19.393421,26.503525,0.0,460.60474,0.0036748596,0.0
19.393421,26.503525,0.0,459.1655,0.0036748596,0.0
19.393421,26.503525,0.0,459.88513,0.0036748596,0.0
19.393421,26.503525,0.0,460.24496,0.0036822185,0.0
19.393421,26.503525,0.0,459.52533,0.0036822185,0.0
19.39662,26.503525,0.0,460.24496,0.0036748596,0.0
19.393421,26.503525,0.0,460.60474,0.0036748596,0.0
19.39662,26.503525,0.0,460.9646,0.0036748596,0.0
19.393421,26.503525,0.0,460.60474,0.0036748596,0.0
19.393421,26.503525,0.0,460.24496,0.0036748596,0.0
19.393421,26.503525,0.0,460.24496,0.0036748596,0.0
19.393421,26.503525,0.0,461.6842,0.0036748596,0.0
19.393421,26.503525,0.0,460.9646,0.0036748596,0.0
19.393421,26.503525,0.0,459.52533,0.0036748596,0.0
19.39662,26.503525,0.0,461.6842,0.0036748596,0.0
19.39662,26.503525,0.0,460.24496,0.0036748596,0.0
19.39662,26.503525,0.0,461.6842,0.0036895764,0.0
19.393421,26.503525,0.0,461.3244,0.0036748596,0.0
19.393421,26.503525,0.0,460.60474,0.0036748596,0.0
19.393421,26.503525,0.0,460.60474,0.0036748596,0.0
19.39662,26.503525,0.0,460.60474,0.0036822185,0.0
19.39662,26.503525,0.0,460.24496,0.0036748596,0.0
19.39662,26.503525,0.0,460.60474,0.0036748596,0.0
19.39662,26.503525,0.0,460.60474,0.0036822185,0.0
19.39662,26.503525,0.0,460.24496,0.0036822185,0.0
19.399818,26.503525,0.0,460.9646,0.0036822185,0.0
19.393421,26.503525,0.0,460.9646,0.0036822185,0.0
19.39662,26.503525,11.3374815,460.9646,0.0036822185,0.0
19.39662,26.503525,68.02046,460.9646,0.0036822185,0.0
19.39662,26.503525,362.7758,460.60474,0.0036822185,0.0
19.393421,26.503525,362.7758,460.9646,0.0036822185,0.0
19.393421,26.503525,476.14325,460.60474,0.0036822185,0.0
19.393421,26.503525,544.1637,460.60474,0.0036822185,0.0
19.393421,26.503525,850.25653,460.9646,0.0036822185,0.0
19.393421,26.503525,1065.6554,460.60474,0.0036822185,0.0
19.393421,26.503525,1235.7058,460.60474,0.0036822185,0.0
19.393421,26.503525,1235.7058,459.52533,0.0036822185,0.0
19.393421,26.503525,1292.3903,460.60474,0.0036822185,0.0
19.393421,26.57475,1417.0938,460.60474,0.0036822185,0.0
19.39662,26.57475,1451.1047,460.9646,0.0036822185,0.0
19.39662,26.503525,1575.8096,460.9646,0.0036822185,0.02199459
19.39662,26.503525,1666.5035,460.60474,0.0036822185,0.014662743
19.39662,26.503525,1745.86,460.9646,0.0036822185,0.095308304
19.39662,26.503525,1791.207,460.60474,0.0036822185,0.46187687
19.399818,26.503525,1915.9119,461.6842,0.0036822185,0.79178905
19.397251,26.47698,2018.3308,460.84314,0.0036845307,0.25980592
19.397251,26.47698,2077.7449,460.49207,0.0036845307,0.25980592
19.397251,26.47698,2147.6438,460.49207,0.0036845307,0.25980592
19.397251,26.47698,2235.0176,460.84314,0.0036845307,0.25980592
19.397251,26.47698,2285.6943,460.49207,0.0036845307,0.25980592
19.400215,26.47698,2332.876,460.84314,0.0036845307,0.25980592
19.397251,26.47698,2387.0476,460.84314,0.0036845307,0.25980592
19.397251,26.47698,2444.7144,461.19415,0.0036845307,0.25980592
19.397251,26.47698,2500.6333,461.19415,0.0036845307,0.25980592
19.397251,26.47698,2561.795,460.84314,0.0036771551,0.25980592
19.400215,26.47698,2612.4717,460.84314,0.0036771551,0.25980592
19.400215,26.47698,2643.9258,460.84314,0.0036771551,0.25980592
19.400215,26.47698,2682.3706,460.84314,0.0036771551,0.25980592
19.400215,26.47698,2720.815,460.84314,0.0036771551,0.25980592
19.397251,26.47698,2776.734,461.19415,0.0036771551,0.25980592
