Date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
2015-02-04 18:02,23.08,27.15,419.0,690.25,0.0,1.0
2015-02-04 18:04,23.08,27.15,419.0,693.5,0.0,1.0
2015-02-04 18:06,23.1,27.1,419.0,692.5,0.0,1.0
2015-02-04 18:08,23.08,27.15,419.0,695.5,0.0,1.0
2015-02-04 18:10,23.1,27.17,419.0,696.5,0.0,1.0
2015-02-04 18:10,23.08,27.15,419.0,688.0,0.0,1.0
2015-02-04 18:13,23.1,27.12,419.0,683.25,0.0,1.0
2015-02-04 18:15,23.08,27.15,419.0,685.0,0.0,1.0
2015-02-04 18:17,23.1,27.1,419.0,691.0,0.0,1.0
2015-02-04 18:19,23.08,27.15,419.0,688.0,0.0,1.0
2015-02-04 18:21,23.08,27.15,419.0,690.0,0.0,1.0
2015-02-04 18:23,23.08,27.12,419.0,692.25,0.0,1.0
2015-02-04 18:25,23.08,27.15,419.0,695.5,0.0,1.0
2015-02-04 18:26,23.08,27.15,419.0,694.5,0.0,1.0
2015-02-04 18:28,23.08,27.24,419.0,692.0,0.0,1.0
2015-02-04 18:30,23.08,27.24,419.0,693.5,0.0,1.0
2015-02-04 18:32,23.05,27.29,426.5,695.0,0.0,1.0
2015-02-04 18:34,23.0,27.32,426.5,688.5,0.0,1.0
2015-02-04 18:36,23.0,27.32,423.0,689.0,0.0,1.0
2015-02-04 18:38,23.0,27.39,419.0,684.5,0.0,1.0
2015-02-04 18:39,23.0,27.39,428.67,691.0,0.0,1.0
2015-02-04 18:40,22.94,27.39,422.5,688.5,0.0,1.0
2015-02-04 18:42,22.89,27.44,422.5,686.75,0.0,1.0
2015-02-04 18:44,22.89,27.5,426.67,698.67,0.0,1.0
2015-02-04 18:46,22.89,27.42,429.0,704.75,0.0,1.0
2015-02-04 18:48,22.89,27.42,424.0,705.25,0.0,1.0
2015-02-04 18:50,22.89,27.34,419.0,708.5,0.0,1.0
2015-02-04 18:51,22.89,27.32,426.0,714.5,0.0,1.0
2015-02-04 18:53,22.89,27.32,426.0,712.0,0.0,1.0
2015-02-04 18:55,22.89,27.36,426.0,713.25,0.0,1.0
2015-02-04 18:56,22.89,27.29,423.0,708.67,0.0,1.0
2015-02-04 18:58,22.82,27.32,419.0,703.0,0.0,1.0
2015-02-04 19:00,22.84,27.36,428.0,704.0,0.0,1.0
2015-02-04 19:02,22.82,27.29,422.8,703.5,0.0,1.0
2015-02-04 19:04,22.84,27.24,419.0,698.5,0.0,1.0
2015-02-04 19:06,22.84,27.2,419.0,697.0,0.0,1.0
2015-02-04 19:08,22.84,27.2,419.0,688.5,0.0,1.0
